A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
UHMD,PVS,PROVIDENIYA BAY,PROVIDENIYA BAY,RUSSIA,064,022,048,N,173,014,048,W,00022,64.380,-173.247
UHMG,0000,0000,CHAIBUKHA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMI,0000,0000,MYS SCHMIDTA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMK,0000,0000,KEPERVEEM,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHML,0000,0000,LAVRENTIYA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMM,GDX,SOKOL,MAGADAN,RUSSIA,059,054,036,N,150,043,000,E,00175,59.910,150.717
UHMN,0000,0000,OMOLON,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMO,0000,0000,MARKOVO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMP,0000,PEVEK FIR,PEVEK,RUSSIA,067,030,000,N,171,000,000,E,00000,67.500,171.000
UHMR,0000,0000,BERINGOVSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHMS,0000,0000,SEYMCHAN,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHNN,0000,NIKOLAEVSK,NIKOLAEVSK-NA-AMURE,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHOO,0000,0000,OKHOTSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPB,0000,0000,UST-BOLSHERETSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPD,0000,0000,OSSORA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPK,0000,0000,UST-KAMCHATSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPM,0000,0000,MILKOVO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPP,PKC,YELIZOVO,PETROPAVLOVSK,RUSSIA,053,009,059,N,158,027,010,E,00040,53.166,158.453
UHPT,0000,0000,TILICHIKI,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHPU,0000,0000,UST-KHAYRUZOVO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UHSH,0000,OKHA,OKHA,RUSSIA,053,030,054,N,142,053,018,E,00000,53.515,142.888
UHSS,UUS,KHOMUTOVO,YUZHNO-SAKHALINSK,RUSSIA,046,053,019,N,142,043,002,E,00018,46.889,142.717
UHWW,VVO,KNEVICHI,VLADIVOSTOK,RUSSIA,043,023,056,N,132,009,005,E,00014,43.399,132.151
UIAA,HTA,KADALA,CHITA,RUSSIA,052,001,034,N,113,018,018,E,00692,52.026,113.305
UIAM,0000,0000,MOGOCHA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UIBB,BTK,BRATSK,BRATSK,RUSSIA,056,022,015,N,101,041,055,E,00492,56.371,101.699
UIII,IKT,IRKUTSK,IRKUTSK,RUSSIA,052,016,001,N,104,023,041,E,00510,52.267,104.395
UIIO,0000,0000,UST-ORDYNSKY,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UIKB,0000,0000,BODAYBO,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UIKK,0000,0000,KIRENSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UINN,0000,0000,NIZHNEUDINSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UIUH,0000,0000,KHORINSK,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UIUU,UUD,MUKHINO,ULAN-UDE,RUSSIA,051,048,024,N,107,026,017,E,00516,51.807,107.438
UKBB,KBP,BORYSPIL,KIEV,RUSSIA,050,020,042,N,030,053,042,E,00131,50.345,30.895
UKCC,DOK,DONETSK,DONETSK,RUSSIA,048,004,024,N,037,044,024,E,00242,48.073,37.740
UKDD,DNK,DNIPROPETROVSK,DNEPROPETROVSK,RUSSIA,048,021,024,N,035,006,006,E,00147,48.357,35.102
UKFF,SIP,SIMFEROPOL,SIMFEROPOL,RUSSIA,045,002,019,N,033,058,059,E,00195,45.039,33.983
UKHE,0000,0000,PETROVSKOYE,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UKHH,0000,KHMELNYTSKYI,KHARKOV,RUSSIA,049,021,032,N,026,056,002,E,00351,49.359,26.934
UKII,KIV,0000,KISHINEV,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UKKG,KGO,KIROVOGRAD,KIROVOGRAD,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UKKK,IEV,ZHULIANY,KIEV,RUSSIA,050,024,006,N,030,027,006,E,00179,50.402,30.452
UKKS,0000,0000,SEMEYNOVKA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
UKLL,LWO,LVIV,LVOV,RUSSIA,049,048,045,N,023,057,022,E,00328,49.813,23.956
UKLN,0000,CHERNIVTSI,CHERNOVTSK,RUSSIA,048,015,036,N,025,058,054,E,00252,48.260,25.982
UKOO,ODS,ODESA,ODESSA,RUSSIA,046,025,037,N,030,040,041,E,00053,46.427,30.678
UKWW,0000,0000,VINNITSA,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
ULAK,0000,0000,KOTLAS,RUSSIA,000,000,000,U,000,000,000,U,00000,0.000,0.000
